estadistica,min,min_en_n,max,max_en_n,rango
max,,,0.21952641010284424,81.0,
p99,0.05985648401081571,52.0,0.1142473739385607,82.0,0.05439088992774499
p95,0.03426754102110863,52.0,0.059948503971099854,37.0,0.025680962949991226
p90,0.021162016317248344,59.0,0.04311288520693779,30.0,0.021950868889689445
q3,-0.0008827358396956697,79.0,0.01900366321206093,36.0,0.019886399051756598
median,-0.021866049617528915,78.0,-0.006496143061667681,30.0,0.015369906555861235
q1,-0.04028468206524849,79.0,-0.026682931929826736,30.0,0.013601750135421753
p5,-0.05681255236268044,80.0,-0.049019785784184935,32.0,0.007792766578495501
p1,-0.06895095199346542,64.0,-0.060237061232328415,38.0,0.008713890761137003
min,-0.1435985267162323,62.0,,,
mean,-0.016415121033787727,59.0,-0.0022152946330606937,36.0,0.014199826400727034
std,0.02784120664000511,52.0,0.03519544005393982,82.0,0.007354233413934708
