estadistica,min,min_en_n,max,max_en_n,rango
max,,,0.21103966236114502,83.0,
p99,0.06343840777873994,60.0,0.0917355965077879,84.0,0.028297188729047962
p95,0.03393989056348801,31.0,0.056273972243070555,38.0,0.02233408167958255
p90,0.02085926271975042,31.0,0.03980474881827832,38.0,0.018945486098527902
q3,0.0008022289985092357,30.0,0.01564713753759861,38.0,0.014844908539089374
median,-0.018294139765203,30.0,-0.007226402405649424,39.0,0.011067737359553576
q1,-0.03322813846170902,30.0,-0.02413293719291687,75.0,0.009095201268792152
p5,-0.050097263604402545,31.0,-0.04248178191483021,75.0,0.007615481689572337
p1,-0.05843483857810497,31.0,-0.053340356796979904,75.0,0.005094481781125065
min,-0.07741954922676086,65.0,,,
mean,-0.01407263521105051,30.0,-0.0022866306826472282,38.0,0.011786004528403282
std,0.02612915262579918,31.0,0.030812710523605347,83.0,0.004683557897806168
