estadistica,min,min_en_n,max,max_en_n,rango
max,,,0.3198504149913788,32.0,
p99,0.0951974168419838,74.0,0.22254174888134057,32.0,0.12734433203935677
p95,0.06197878904640674,74.0,0.1480063796043396,32.0,0.08602759055793285
p90,0.04431976601481442,74.0,0.11352780535817146,32.0,0.06920803934335704
q3,0.017527158837765455,74.0,0.06638878770172596,32.0,0.048861628863960505
median,-0.007267894688993692,74.0,0.023170076310634613,32.0,0.030437970999628305
q1,-0.028451838064938784,74.0,-0.006969534792006016,32.0,0.021482303272932768
p5,-0.050133801996707916,74.0,-0.03460428863763809,32.0,0.015529513359069824
p1,-0.06051197480410337,71.0,-0.0486897461861372,31.0,0.011822228617966168
min,-0.093321293592453,81.0,,,
mean,-0.002414410701021552,74.0,0.03559216484427452,32.0,0.03800657554529607
std,0.035198237746953964,74.0,0.05776430666446686,32.0,0.022566068917512894
