estadistica,min,min_en_n,max,max_en_n,rango
max,,,0.18539977073669434,74.0,
p99,0.05367114394903183,42.0,0.11018243432044983,80.0,0.056511290371418
p95,0.03279316648840901,35.0,0.07370159029960632,59.0,0.04090842381119731
p90,0.021357204765081406,35.0,0.05508752539753914,59.0,0.03373032063245773
q3,-0.0005301452765706927,33.0,0.02735791075974703,59.0,0.02788805603631772
median,-0.019289540126919746,33.0,0.0003388142504263669,58.0,0.019628354377346113
q1,-0.03589161857962608,69.0,-0.020596081390976906,59.0,0.015295537188649178
p5,-0.05559241399168968,75.0,-0.044859116524457926,55.0,0.010733297467231756
p1,-0.06490574777126312,75.0,-0.05601500254124403,30.0,0.008890745230019093
min,-0.07871805876493454,68.0,,,
mean,-0.015375309623777866,35.0,0.005375266075134277,59.0,0.020750575698912144
std,0.02638244442641735,42.0,0.03630310669541359,59.0,0.009920662268996239
