estadistica,min,min_en_n,max,max_en_n,rango
max,,,0.33676743507385254,50.0,
p99,0.11064407229423523,63.0,0.18412218183279105,30.0,0.07347810953855582
p95,0.07653584368526925,37.0,0.1128665879368782,30.0,0.036330744251608954
p90,0.05609349049627782,37.0,0.08605044931173329,30.0,0.029956958815455473
q3,0.026478047482669353,61.0,0.04459597822278738,30.0,0.018117930740118027
median,-0.001923783915117383,61.0,0.01287551550194621,45.0,0.014799299417063594
q1,-0.024124061688780785,37.0,-0.014112538658082485,43.0,0.0100115230306983
p5,-0.04777279533445835,37.0,-0.041428384743630885,46.0,0.006344410590827465
p1,-0.060093022882938385,37.0,-0.054594108760356905,60.0,0.00549891412258148
min,-0.11399220675230026,30.0,,,
mean,0.004680457524955273,63.0,0.018570339307188988,30.0,0.013889881782233715
std,0.037326838821172714,79.0,0.05054798722267151,30.0,0.013221148401498795
